freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 
M,PAS,PAS_BRD,TOTAL,TOT,MK	243118 	189024 	208023 	251876 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD,TOTAL,TOT,MT	466689 	475126 	634780 	775692 	859495 	859930 	953182 	984352 	897468 	839290 	631799 	592366 
M,PAS,PAS_BRD,TOTAL,TOT,NL	5127023 	5233902 	5893805 	6275506 	6932911 	6887555 	7255175 	7379568 	6970519 	6931569 	5658328 	5732861 
M,PAS,PAS_BRD,TOTAL,TOT,NO	2392730 	2614379 	2968633 	3045120 	3400839 	3709119 	4059203 	3718710 	3595943 	3518216 	2891926 	2765721 
M,PAS,PAS_BRD,TOTAL,TOT,PL	3413806 	3377208 	3774495 	4233346 	5126644 	5708053 	6098158 	6181792 	5787984 	5052951 	3845198 	3909143 
M,PAS,PAS_BRD,TOTAL,TOT,PT	3643015 	3951979 	4806933 	5479798 	5966389 	6113173 	6547754 	6723611 	6325639 	5994786 	4332950 	4274813 
M,PAS,PAS_BRD,TOTAL,TOT,RO	1650977 	1509085 	1766602 	1901468 	2108360 	2304220 	2514418 	2613977 	2372973 	2226735 	1810136 	1816415 
M,PAS,PAS_BRD,TOTAL,TOT,RS	596789 	500653 	585137 	644511 	746712 	808294 	951268 	974161 	891355 	782916 	615358 	618060 
M,PAS,PAS_BRD,TOTAL,TOT,SE	1894023 	1933252 	2258187 	2416073 	2809293 	2957885 	3127116 	2933314 	2795402 	2675636 	2114560 	2125518 
M,PAS,PAS_BRD,TOTAL,TOT,SI	75175 	86181 	96331 	111414 	133456 	147940 	161751 	166505 	155938 	127361 	89868 	85742 
M,PAS,PAS_BRD,TOTAL,TOT,SK	108679 	102013 	126553 	157202 	171455 	336491 	458488 	445472 	307858 	177132 	137653 	154785 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,AT	1117272 	1177231 	1342894 	1426211 	1554174 	1666867 	1799155 	1865531 	1735764 	1588163 	1275543 	1355620 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,BE	1109561 	1092397 	1246880 	1427548 	1603854 	1511760 	1606611 	1878596 	1646329 	1536784 	1332500 	1235254 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,BG	289805 	298712 	352991 	374621 	455216 	627165 	799000 	731586 	544518 	421528 	322849 	370770 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,CH	1952497 	1987404 	2243121 	2420925 	2552604 	2523752 	2632784 	2959426 	2628203 	2687341 	1953422 	2184282 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,CY	263272 	261825 	359938 	500265 	599260 	663674 	767327 	806843 	722920 	662681 	325783 	330659 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,CZ	416125 	489668 	601699 	646015 	715184 	898463 	1066311 	1066809 	957004 	781454 	621433 	677199 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,DE	6401542 	6023482 	7319636 	8829277 	9799253 	10060855 	10073018 	11062283 	10694065 	10754761 	7925767 	7112882 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,DK	1038076 	1098120 	1310141 	1509413 	1668526 	1691144 	1911812 	1884968 	1707246 	1699310 	1304358 	1220321 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,EE	98401 	97195 	127798 	143778 	167389 	164398 	177441 	169031 	155818 	169865 	124437 	132747 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,EL	1190620 	1207028 	1593082 	2492102 	4154791 	6036288 	6454531 	5975459 	5027531 	3513557 	1544011 	1594394 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,ES	9166064 	9703353 	11513142 	12931547 	14278619 	14698614 	16021163 	15816608 	14960183 	13925546 	10461400 	11042288 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,FI	738706 	749881 	830775 	735823 	795646 	848772 	904352 	823886 	809864 	854447 	780339 	979077 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,FR	6305619 	6114544 	7316804 	7950008 	9105736 	8845900 	9117093 	10267776 	9029077 	8366458 	6769056 	7230887 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,HR	142931 	148818 	212982 	473705 	711001 	918237 	1132243 	1043025 	829663 	529690 	203680 	203211 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,HU	532255 	548669 	657147 	711510 	743166 	772817 	894914 	896802 	843792 	807384 	718564 	753310 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,IE	1280875 	1279311 	1561206 	1717521 	1903505 	1950888 	2089683 	2219419 	1917427 	1773827 	1397180 	1388074 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,IS	238766 	272625 	326434 	302378 	368678 	468304 	541645 	535664 	413206 	376731 	282011 	299840 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,IT	6353494 	6341203 	7695315 	9267253 	10273200 	10712100 	11607466 	11706800 	11214560 	9892785 	7147589 	7404234 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,LT	184934 	185169 	227053 	263282 	320624 	328516 	336276 	325333 	301617 	321195 	249731 	249128 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,LU	154854 	149699 	185054 	222798 	252527 	237932 	232050 	268205 	258754 	236127 	187788 	177854 
